-6 0
-5.8 5
-5.6 0
-5.4 0
-5.2 0
-5 0
-4.8 5
-4.6 20
-4.4 5
-4.2 25
-4 50
-3.8 75
-3.6 105
-3.4 135
-3.2 195
-3 250
-2.8 380
-2.6 560
-2.4 710
-2.2 765
-2 1080
-1.8 1230
-1.6 1650
-1.4 1765
-1.2 1895
-1 2225
-0.8 2360
-0.6 2635
-0.4 2875
-0.2 2710
0 2715
0.2 2870
0.4 2765
0.6 2750
0.8 2250
1 2255
1.2 2075
1.4 1605
1.6 1440
1.8 1165
2 1000
2.2 850
2.4 695
2.6 530
2.8 420
3 295
3.2 205
3.4 185
3.6 70
3.8 55
4 25
4.2 25
4.4 10
4.6 0
4.8 5
5 15
5.2 10
5.4 0
5.6 0
5.8 0
6 5
